,,,,,,,,,,2015 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
30,10th Unlimited,"Rhett Stuman
James Ward
Ed Jones
Kent Harlan
TC - Janet Ward
TC - Kerri Harlan",6377,9:00, ,12:01:00, ,15:38:00, ,19:36:00, ,1:31:00, ,8:35:00, ,13:22:00, ,16:11:00, ,1:25:00, ,8:32:00, ,12:47:00, ,18:46:00
,,,,,27,3:01:00,23,3:37:00,37,3:58:00,32,5:55:00,33,7:04:00,31,4:47:00,35,2:49:00,40,9:14:00,45,7:07:00,17,4:15:00,46,5:59:00
,,,,,27,3:01:00,26,6:38:00,30,10:36:00,29,16:31:00,30,23:35:00,31,28:22:00,31,31:11:00,32,40:25:00,31,47:32:00,30,51:47:00,30,57:46:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1st Womens Solo,"Erin Magee
TC - Joe Geisinger
TC - Patty Geisinger",497,9:00, ,12:14:00, ,15:49:00, ,19:40:00, ,1:35:00, ,7:43:00, ,11:55:00, ,14:17:00, ,21:58:00, ,4:18:00, ,12:02:00, ,20:22:00
,,,,,41,3:14:00,22,3:35:00,32,3:51:00,32,5:55:00,21,6:08:00,21,4:12:00,19,2:22:00,26,7:41:00,26,6:20:00,57,7:44:00,55,8:20:00
,,,,,41,3:14:00,32,6:49:00,32,10:40:00,31,16:35:00,27,22:43:00,27,26:55:00,25,29:17:00,25,36:58:00,26,43:18:00,28,51:02:00,31,59:22:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3rd Aluminum,"Benjamin Duckett 
Jonathan Garcia
TC - Constance Harris
TC - Emily Duckett",1984,9:00, ,12:07:00, ,16:04:00, ,20:03:00, ,1:53:00, ,8:57:00, ,13:43:00, ,16:47:00, ,1:11:00, ,9:08:00, ,14:53:00, ,20:24:00
,,,,,37,3:07:00,40,3:57:00,38,3:59:00,31,5:50:00,32,7:04:00,30,4:46:00,42,3:04:00,32,8:24:00,55,7:57:00,36,5:45:00,39,5:31:00
,,,,,37,3:07:00,39,7:04:00,38,11:03:00,36,16:53:00,33,23:57:00,32,28:43:00,32,31:47:00,31,40:11:00,33,48:08:00,33,53:53:00,32,59:24:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4th Mens Solo,"Brady Lotz
TC - Charlene Sutton
TC - Lynn Lotz",88,9:00, ,11:58:00, ,15:35:00, ,19:19:00, ,1:32:00, ,9:29:00, ,15:14:00, ,18:30:00, ,3:49:00, ,10:41:00, ,16:27:00, ,20:50:00
,,,,,25,2:58:00,23,3:37:00,27,3:44:00,39,6:13:00,46,7:57:00,53,5:45:00,46,3:16:00,42,9:19:00,38,6:52:00,37,5:46:00,20,4:23:00
,,,,,25,2:58:00,24,6:35:00,24,10:19:00,30,16:32:00,35,24:29:00,38,30:14:00,38,33:30:00,36,42:49:00,34,49:41:00,37,55:27:00,33,59:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4th Aluminum,"Mike Dey 
Chad Keeth
TC - Rebecca Penaloza
TC - Kelley Keeth",6788,9:00, ,12:03:00, ,16:10:00, ,20:16:00, ,2:25:00, ,10:04:00, ,14:56:00, ,18:09:00, ,4:47:00, ,11:27:00, ,15:37:00, ,21:11:00
,,,,,33,3:03:00,50,4:07:00,39,4:06:00,38,6:09:00,40,7:39:00,33,4:52:00,44,3:13:00,56,10:38:00,33,6:40:00,15,4:10:00,40,5:34:00
,,,,,33,3:03:00,41,7:10:00,41,11:16:00,38,17:25:00,38,25:04:00,34,29:56:00,37,33:09:00,37,43:47:00,37,50:27:00,34,54:37:00,34,60:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3rd USCA C1,"Derrick Lee
TC - Michael Lee
TC - Rachel Betts",133,9:00, ,12:01:00, ,15:43:00, ,19:34:00, ,1:37:00, ,9:57:00, ,14:56:00, ,17:41:00, ,3:48:00, ,10:41:00, ,16:26:00, ,21:36:00
,,,,,27,3:01:00,29,3:42:00,31,3:51:00,37,6:03:00,52,8:20:00,38,4:59:00,33,2:45:00,49,10:07:00,39,6:53:00,35,5:45:00,32,5:10:00
,,,,,27,3:01:00,27,6:43:00,28,10:34:00,32,16:37:00,37,24:57:00,34,29:56:00,35,32:41:00,35,42:48:00,36,49:41:00,36,55:26:00,35,60:36:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3rd Novice,"Ryan Kelly 
Joseph Klein
TC - Michael Spain
TC - Robert Raiford",3338,9:00, ,12:01:00, ,15:57:00, ,19:48:00, ,1:37:00, ,9:32:00, ,14:44:00, ,17:41:00, ,3:47:00, ,10:41:00, ,16:30:00, ,21:55:00
,,,,,27,3:01:00,38,3:56:00,32,3:51:00,30,5:49:00,45,7:55:00,43,5:12:00,39,2:57:00,48,10:06:00,40,6:54:00,39,5:49:00,37,5:25:00
,,,,,27,3:01:00,36,6:57:00,35,10:48:00,32,16:37:00,36,24:32:00,33,29:44:00,34,32:41:00,34,42:47:00,34,49:41:00,38,55:30:00,36,60:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3rd Standard,"Keith Usry 
Ryan Bielke
TC - Lance Bielke
TC - Gregory Bielke",2222,9:00, ,12:06:00, ,15:59:00, ,20:06:00, ,6:02:00, ,12:56:00, ,17:50:00, ,20:29:00, ,6:09:00, ,12:54:00, ,15:52:00, ,23:33:00
,,,,,36,3:06:00,36,3:53:00,41,4:07:00,63,9:56:00,28,6:54:00,34,4:54:00,30,2:39:00,46,9:40:00,35,6:45:00,4,2:58:00,53,7:41:00
,,,,,36,3:06:00,37,6:59:00,39,11:06:00,48,21:02:00,44,27:56:00,43,32:50:00,41,35:29:00,39,45:09:00,39,51:54:00,35,54:52:00,37,62:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
