,,,,,,,,,,2013 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,0.582638889,,Time Out,,,,,,,,,,,,
,,,,,51,3:35:00,52,8:37:00,49,13:35:00,37,20:16:00,34,28:39:00,33,34:22:00,29,37:35:00,27,49:25:00,27,57:10:00,25,62:27:00,23,68:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3rd Aluminum,215,"Cole Davis
Matt Myers
TC - Len Bryan
TC - Lorae Davis",9:00,,12:27:00,,17:07:00,,21:41:00,,3:41:00,,12:15:00,,18:40:00,,21:39:00,,9:12:00,,16:57:00,,1:05:00,,6:15:00
,,,,,42,3:27:00,36,4:40:00,28,4:34:00,29,6:00:00,35,8:34:00,39,6:25:00,23,2:59:00,35,11:33:00,23,7:45:00,61,8:08:00,31,5:10:00
,,,,,42,3:27:00,37,8:07:00,31,12:41:00,27,18:41:00,25,27:15:00,29,33:40:00,25,36:39:00,25,48:12:00,25,55:57:00,26,64:05:00,24,69:15:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2nd Tandem,7777,"Wendall Smith
Tres Ryan
TC - Aaron Timmins",9:00,,12:31:00,,17:05:00,,21:48:00,,3:19:00,,11:26:00,,17:25:00,,20:24:00,,8:35:00,,15:46:00,,21:17:00,,7:10:00
,,,,,46,3:31:00,30,4:34:00,32,4:43:00,24,5:31:00,26,8:07:00,35,5:59:00,23,2:59:00,48,12:11:00,17,7:11:00,25,5:31:00,79,9:53:00
,,,,,46,3:31:00,35,8:05:00,32,12:48:00,26,18:19:00,21,26:26:00,23,32:25:00,23,35:24:00,23,47:35:00,23,54:46:00,22,60:17:00,25,70:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6th Unlimited,7,"Jon Schoepflin
Linden Welsch
Chris Bailey
TC - Danny Cantu",9:00,,12:15:00,,17:17:00,,22:21:00,,6:20:00,,13:23:00,,18:50:00,,22:49:00,,10:48:00,,18:24:00,,1:36:00,,7:21:00
,,,,,28,3:15:00,55,5:02:00,43,5:04:00,59,7:59:00,14,7:03:00,22,5:27:00,55,3:59:00,46,11:59:00,20,7:36:00,49,7:12:00,49,5:45:00
,,,,,28,3:15:00,43,8:17:00,41,13:21:00,44,21:20:00,32,28:23:00,30,33:50:00,31,37:49:00,30,49:48:00,28,57:24:00,27,64:36:00,26,70:21:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3rd Tandem,217,"Chad Keeth
Clay Snell
TC - Lee Robinson",9:00,,12:07:00,,16:32:00,,21:07:00,,3:14:00,,12:17:00,,18:30:00,,21:42:00,,10:28:00,,20:24:00,,3:37:00,,8:29:00
,,,,,20,3:07:00,24,4:25:00,30,4:35:00,32,6:07:00,44,9:03:00,37,6:13:00,31,3:12:00,54,12:46:00,65,9:56:00,50,7:13:00,23,4:52:00
,,,,,20,3:07:00,21,7:32:00,24,12:07:00,25,18:14:00,26,27:17:00,27,33:30:00,26,36:42:00,28,49:28:00,32,59:24:00,31,66:37:00,27,71:29:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3rd USCA C2,1985,"Libby Geisinger
Joseph Geisinger
TC - Patty Geisinger
TC - Ted Linder",9:00,,12:26:00,,17:13:00,,22:02:00,,4:06:00,,13:02:00,,18:52:00,,23:07:00,,11:00:00,,18:55:00,,3:21:00,,8:41:00
,,,,,39,3:26:00,42,4:47:00,35,4:49:00,30,6:04:00,43,8:56:00,32,5:50:00,65,4:15:00,43,11:53:00,31,7:55:00,68,8:26:00,37,5:20:00
,,,,,39,3:26:00,40,8:13:00,35,13:02:00,29,19:06:00,30,28:02:00,31,33:52:00,32,38:07:00,31,50:00:00,29,57:55:00,28,66:21:00,28,71:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7th Mens Solo,1967,"John Valdivia
TC - Rodney Neubauer",9:00,,12:24:00,,16:44:00,,21:18:00,,6:04:00,,13:30:00,,19:01:00,,22:11:00,,11:16:00,,19:35:00,,3:30:00,,8:47:00
,,,,,36,3:24:00,21,4:20:00,28,4:34:00,77,8:46:00,20,7:26:00,27,5:31:00,29,3:10:00,57,13:05:00,40,8:19:00,58,7:55:00,36,5:17:00
,,,,,36,3:24:00,26,7:44:00,27,12:18:00,43,21:04:00,33,28:30:00,32,34:01:00,28,37:11:00,32,50:16:00,31,58:35:00,30,66:30:00,29,71:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
30,8th Mens Solo,728,"Benjamin Duckett
TC - Constance Harris
TC - Amy Brand",9:00,,12:14:00,,16:52:00,,21:38:00,,4:10:00,,13:49:00,,20:17:00,,1:22:00,,13:10:00,,22:19:00,,4:58:00,,8:52:00
,,,,,27,3:14:00,35,4:38:00,34,4:46:00,35,6:32:00,56,9:39:00,42,6:28:00,80,5:05:00,40,11:48:00,54,9:09:00,38,6:39:00,14,3:54:00
,,,,,27,3:14:00,31,7:52:00,30,12:38:00,30,19:10:00,35,28:49:00,36,35:17:00,36,40:22:00,34,52:10:00,37,61:19:00,34,67:58:00,30,71:52:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7th Unlimited,1775,"Joe Hunt
James Hunt
Josh Hunt
TC - Patty Hunt",9:00,,12:24:00,,17:13:00,,22:03:00,,5:15:00,,14:36:00,,22:25:00,,2:15:00,,13:12:00,,21:03:00,,3:23:00,,9:06:00
,,,,,36,3:24:00,44,4:49:00,36,4:50:00,45,7:12:00,49,9:21:00,60,7:49:00,47,3:50:00,32,10:57:00,29,7:51:00,31,6:20:00,48,5:43:00
,,,,,36,3:24:00,40,8:13:00,36,13:03:00,36,20:15:00,41,29:36:00,40,37:25:00,37,41:15:00,35,52:12:00,34,60:03:00,29,66:23:00,31,72:06:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4th Aluminum,6494,"Gary Robinson
Ashley Robinson
TC - Mary Robinson
TC - John Qualls",9:00,,12:19:00,,17:05:00,,21:49:00,,4:18:00,,13:52:00,,20:51:00,,0:59:00,,13:36:00,,21:50:00,,4:37:00,,9:07:00
,,,,,32,3:19:00,41,4:46:00,33,4:44:00,33,6:29:00,53,9:34:00,50,6:59:00,60,4:08:00,52,12:37:00,36,8:14:00,43,6:47:00,17,4:30:00
,,,,,32,3:19:00,35,8:05:00,34,12:49:00,32,19:18:00,36,28:52:00,39,35:51:00,35,39:59:00,37,52:36:00,36,60:50:00,33,67:37:00,32,72:07:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5th Aluminum,252,"Mark Hellinger
Paul Black
TC - Marian Black",9:00,,12:31:00,,17:24:00,,22:29:00,,5:20:00,,14:04:00,,20:30:00,,0:03:00,,11:40:00,,20:45:00,,5:00:00,,9:32:00
,,,,,46,3:31:00,49,4:53:00,44,5:05:00,39,6:51:00,39,8:44:00,41,6:26:00,39,3:33:00,36,11:37:00,51,9:05:00,62,8:15:00,19,4:32:00
,,,,,46,3:31:00,48,8:24:00,44,13:29:00,38,20:20:00,37,29:04:00,37,35:30:00,34,39:03:00,33,50:40:00,33,59:45:00,35,68:00:00,33,72:32:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4th USCA C2,2002,"Matthew Whitt
Wendel Thuss
TC - Natalie Taylor Thuss",9:00,,12:49:00,,17:42:00,,22:33:00,,5:44:00,,14:17:00,,19:55:00,,23:50:00,,10:38:00,,19:33:00,,4:17:00,,10:28:00
,,,,,58,3:49:00,49,4:53:00,37,4:51:00,44,7:11:00,34,8:33:00,28,5:38:00,52,3:55:00,29,10:48:00,45,8:55:00,72,8:44:00,63,6:11:00
,,,,,58,3:49:00,53,8:42:00,48,13:33:00,40,20:44:00,38,29:17:00,34,34:55:00,33,38:50:00,29,49:38:00,30,58:33:00,32,67:17:00,34,73:28:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6th Aluminum,50,"Bill McCanse
Richard Linden
TC - RaeAnn McCanse",9:00,,12:27:00,,17:17:00,,22:11:00,,5:56:00,,14:17:00,,20:51:00,,3:26:00,,13:19:00,,21:22:00,,6:00:00,,10:31:00
,,,,,42,3:27:00,45,4:50:00,38,4:54:00,56,7:45:00,31,8:21:00,43,6:34:00,90,6:35:00,23,9:53:00,34,8:03:00,70,8:38:00,18,4:31:00
,,,,,42,3:27:00,43,8:17:00,38,13:11:00,42,20:56:00,38,29:17:00,38,35:51:00,38,42:26:00,36,52:19:00,35,60:22:00,36,69:00:00,35,73:31:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2nd Mixed,6055,"Julie Morgan
Colin Grimshaw
TC - Grady Hicks",9:00,,12:20:00,,16:50:00,,22:23:00,,9:02:00,,16:38:00,,0:54:00,,4:57:00,,15:54:00,,23:36:00,,7:56:00,,13:25:00
,,,,,33,3:20:00,27,4:30:00,55,5:33:00,96,10:39:00,23,7:36:00,64,8:16:00,57,4:03:00,32,10:57:00,22,7:42:00,65,8:20:00,41,5:29:00
,,,,,33,3:20:00,30,7:50:00,43,13:23:00,64,24:02:00,45,31:38:00,48,39:54:00,40,43:57:00,39,54:54:00,39,62:36:00,37,70:56:00,36,76:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9th Mens Solo,717,"David Carlson
TC - Dick King
TC - Henry Meyers",9:00,,12:34:00,,17:03:00,,22:39:00,,8:27:00,,16:39:00,,4:20:00,,7:32:00,,16:28:00,,0:14:00,,9:15:00,,15:24:00
,,,,,50,3:34:00,25,4:29:00,56,5:36:00,90,9:48:00,28,8:12:00,82,11:41:00,32,3:12:00,17,8:56:00,26,7:46:00,74,9:01:00,62,6:09:00
,,,,,50,3:34:00,34,8:03:00,50,13:39:00,55,23:27:00,47,31:39:00,55,43:20:00,49,46:32:00,40,55:28:00,40,63:14:00,40,72:15:00,37,78:24:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10th Mens Solo,44,"Mike Dey
TC - Anthony Penaloza
TC - Rebecca Ohnemus",9:00,,12:30:00,,17:11:00,,22:30:00,,8:35:00,,16:41:00,,23:15:00,,6:45:00,,19:37:00,,3:55:00,,9:22:00,,15:27:00
,,,,,44,3:30:00,37,4:41:00,51,5:19:00,94,10:05:00,25,8:06:00,43,6:34:00,92,7:30:00,56,12:52:00,38,8:18:00,22,5:27:00,56,6:05:00
,,,,,44,3:30:00,39,8:11:00,46,13:30:00,56,23:35:00,48,31:41:00,42,38:15:00,46,45:45:00,50,58:37:00,43,66:55:00,41,72:22:00,38,78:27:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8th Unlimited,1111,"Gene Tankersley
James Spencer
Isaac Spencer
TC - Susana Stone",9:00,,12:38:00,,17:35:00,,2:29:00,,10:25:00,,18:37:00,,6:09:00,,9:15:00,,19:18:00,,3:51:00,,9:38:00,,15:30:00
,,,,,53,3:38:00,52,4:57:00,86,8:54:00,57,7:56:00,29,8:12:00,80,11:32:00,26,3:06:00,24,10:03:00,42,8:33:00,28,5:47:00,51,5:52:00
