,,,,,,,,,,2022 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3rd Aluminum,"Mollie Binion
Pete Binion

TC Wade Binion
TC Megan Toliver",8,9:00, ,12:36:00,,17:22:00,,21:58:00,,4:01:00,,12:15:00,,20:05:00,,22:04:00,,12:57:00,,21:40:00,,3:40:00,,10:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58,3:36:00,34,4:46:00,36,4:36:00,36,6:03:00,28,8:14:00,32,7:50:00,34,1:59:00,65,14:53:00,36,8:43:00,27,6:00:00,10,6:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58,3:36:00,42,8:22:00,36,12:58:00,36,19:01:00,33,27:15:00,29,35:05:00,29,37:04:00,36,51:57:00,34,60:40:00,30,66:40:00,26,73:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2nd Novice,"Ryan Hebrink
Michael Watson

TC Claire McCullen
TC Steve Watson",5755,9:00, ,12:34:00,,17:53:00,,23:17:00,,6:06:00,,14:40:00,,22:18:00,,23:56:00,,11:35:00,,20:23:00,,3:40:00,,10:29:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,52,3:34:00,61,5:19:00,62,5:24:00,51,6:49:00,31,8:34:00,28,7:38:00,12,1:38:00,31,11:39:00,37,8:48:00,46,7:17:00,11,6:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,52,3:34:00,59,8:53:00,61,14:17:00,52,21:06:00,48,29:40:00,41,37:18:00,36,38:56:00,33,50:35:00,32,59:23:00,30,66:40:00,27,73:29:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3rd Tandem Unlimited,"West Hansen
Jeff Wueste

TC Barbara Edington
TC Lizet Alaniz",1901,9:00, ,11:45:00,,15:56:00,,19:47:00,,0:53:00,,8:13:00,,15:15:00,,16:47:00,,1:30:00,,9:11:00,,14:53:00,,10:35:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,2:45:00,14,4:11:00,13,3:51:00,13,5:06:00,15,7:20:00,21,7:02:00,11,1:32:00,11,8:43:00,17,7:41:00,19,5:42:00,69,19:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,2:45:00,11,6:56:00,11,10:47:00,11,15:53:00,13,23:13:00,13,30:15:00,13,31:47:00,12,40:30:00,11,48:11:00,10,53:53:00,28,73:35:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3rd Novice,"Craig Ahlhorn
Luis Briones

TC Sandra Ahlhorrn
TC Kevin Rumbaugh",482,9:00, ,12:27:00,,17:37:00,,22:12:00,,5:02:00,,14:13:00,,22:36:00,,0:20:00,,10:52:00,,18:57:00,,3:53:00,,10:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43,3:27:00,54,5:10:00,35,4:35:00,53,6:50:00,48,9:11:00,40,8:23:00,22,1:44:00,22,10:32:00,27,8:05:00,63,8:56:00,9,6:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43,3:27:00,47,8:37:00,39,13:12:00,46,20:02:00,44,29:13:00,42,37:36:00,37,39:20:00,32,49:52:00,30,57:57:00,33,66:53:00,29,73:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
