,,,,,,,,,,2021 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1st Solo Unlimited Man,"Keifer Mauldin
TC Brittany Jeffus
TC Carol Hielckert",414,9:00, ,11:35:00,,15:24:00,,18:56:00,,0:52:00,,7:13:00,,12:18:00,,14:34:00,,20:56:00,,2:11:00,,7:09:00,,10:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,2:35:00,13,3:49:00,19,3:32:00,54,5:56:00,27,6:21:00,40,5:05:00,14,2:16:00,13,6:22:00,8,5:15:00,26,4:58:00,13,3:17:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,2:35:00,11,6:24:00,14,9:56:00,29,15:52:00,28,22:13:00,26,27:18:00,26,29:34:00,23,35:56:00,21,41:11:00,18,46:09:00,19,49:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1st Solo Unlimited Woman,"Salli O'Donnell
TC Mike Malone
TC Joe Frohock",5353,9:00, ,11:50:00,,15:42:00,,19:19:00,,0:02:00,,6:05:00,,10:26:00,,12:48:00,,19:54:00,,2:11:00,,7:25:00,,10:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,2:50:00,18,3:52:00,24,3:37:00,22,4:43:00,19,6:03:00,24,4:21:00,21,2:22:00,23,7:06:00,26,6:17:00,33,5:14:00,20,3:25:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,2:50:00,23,6:42:00,23,10:19:00,21,15:02:00,20,21:05:00,20,25:26:00,20,27:48:00,19,34:54:00,21,41:11:00,19,46:25:00,20,49:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2nd Tandem Unlimited,"Adam Sims
Paul Glisson
TC Brent Townsend
TC Emily Addlesperger",1004,9:00, ,11:40:00,,15:36:00,,19:04:00,,23:34:00,,5:50:00,,9:51:00,,12:04:00,,19:30:00,,1:46:00,,7:28:00,,11:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16,2:40:00,24,3:56:00,15,3:28:00,17,4:30:00,25,6:16:00,11,4:01:00,13,2:13:00,28,7:26:00,25,6:16:00,42,5:42:00,39,3:58:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16,2:40:00,20,6:36:00,19,10:04:00,17,14:34:00,19,20:50:00,17,24:51:00,17,27:04:00,18,34:30:00,18,40:46:00,20,46:28:00,21,50:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2nd Solo Unlimited Man,"Wendell Smith
TC Mark Miller
TC Aaron Timmins",1968,9:00, ,11:53:00,,15:49:00,,19:31:00,,0:16:00,,6:14:00,,10:26:00,,12:50:00,,20:00:00,,2:30:00,,7:33:00,,11:36:00,,,,,,,,,,,,,,,,,,,,,,,
