,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
30,31,Aluminum,"Andrew Hurst
Garrett Hurst 

TC Eden Hurst
TC Ralph Hurst",832,0 days 03:11:00,0 days 07:43:00,0 days 11:49:00,0 days 18:01:00,1 days 02:49:00,1 days 08:50:00,1 days 11:51:00,1 days 22:14:00,2 days 05:29:00,2 days 11:29:00,2 days 15:18:00,Aluminum,['Andrew Hurst\nGarrett Hurst \n\n'],['Eden Hurst\nTC Ralph Hurst'],-2.823763907144894e-07,52.11118146291201,95.316944667231,137.2571447154348,178.43024873428712,217.51875508368403,254.8290723738535,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
31,32,Aluminum,"RD Kissling
Chris Stevenson

TC Karim Aziz
TC Roy Kleinsasser",281,0 days 03:23:00,0 days 08:08:00,0 days 12:29:00,0 days 17:53:00,1 days 03:16:00,1 days 09:22:00,1 days 12:25:00,1 days 23:06:00,2 days 06:02:00,2 days 11:32:00,2 days 15:19:00,Aluminum,['RD Kissling\nChris Stevenson\n\n'],['Karim Aziz\nTC Roy Kleinsasser'],-2.823763907144894e-07,49.47698138811892,95.32429870216106,135.2304229370827,175.95339041500668,214.409413186357,254.67285368749486,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
32,33,Unlimited Women,"Irene Moore
Sonja StClair
Martha Avila-Adame

TC Adam Adame
TC Erica Ortiz",643,0 days 03:11:00,0 days 07:40:00,0 days 11:48:00,0 days 16:45:00,1 days 01:43:00,1 days 07:28:00,1 days 10:35:00,1 days 20:33:00,2 days 04:35:00,2 days 11:37:00,2 days 15:38:00,Unlimited Women,['Irene Moore\nSonja StClair\nMartha Avila-Adame\n\n'],['Adam Adame\nTC Erica Ortiz'],-2.823763907144894e-07,52.26795652427199,100.39588881115249,142.6578783053942,183.97241602219572,222.39696892179634,254.31018468233674,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
33,34,USCA C-2,"Travis Crow
Fred Brent

TC Kert Prater
TC Kerry Prater",112,0 days 03:08:00,0 days 07:52:00,0 days 11:51:00,0 days 17:03:00,1 days 02:49:00,1 days 08:43:00,1 days 11:47:00,1 days 22:24:00,2 days 08:00:00,2 days 13:48:00,2 days 17:26:00,USCA C-2,['Travis Crow\nFred Brent\n\n'],['Kert Prater\nTC Kerry Prater'],-2.823763907144894e-07,51.67117758452433,98.15771260128862,137.51892589379378,178.3337144013619,213.08091012752962,246.61507198632464,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
34,35,Unlimited,"Rhett Butler
Miguel Flores
Ross Bingham

TC Shelby Butler
TC Whitney Flores",830,0 days 03:06:00,0 days 07:44:00,0 days 11:52:00,0 days 16:27:00,1 days 01:59:00,1 days 08:18:00,1 days 11:40:00,1 days 23:01:00,2 days 06:41:00,2 days 13:40:00,2 days 17:27:00,Unlimited,['Rhett Butler\nMiguel Flores\nRoss Bingham\n\n'],['Shelby Butler\nTC Whitney Flores'],-2.823763907144894e-07,51.935485273456855,100.76359989620374,139.92941711806142,177.740847131592,213.51475943562977,248.10602787945734,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
35,36,Solo Unlimited Man,"Benjamin Duckett

TC Constance Harris
TC Emily Duckett",728,0 days 03:27:00,0 days 08:05:00,0 days 12:20:00,0 days 17:48:00,1 days 03:34:00,1 days 10:11:00,1 days 13:34:00,2 days 00:02:00,2 days 08:15:00,2 days 14:38:00,2 days 19:06:00,Solo Unlimited Man,['Benjamin Duckett\n\n'],['Constance Harris\nTC Emily Duckett'],-2.823763907144894e-07,49.92761968029882,95.31239407362615,133.22044559545952,171.98639148893758,208.91605154103223,244.48958842006977,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
36,37,USCA C-1 Man,"Richard Zambrana

TC Ginsie Stauss",17,0 days 03:25:00,0 days 08:17:00,0 days 12:30:00,0 days 17:40:00,1 days 03:57:00,1 days 09:22:00,1 days 12:27:00,2 days 01:15:00,2 days 09:22:00,2 days 14:57:00,2 days 20:57:00,USCA C-1 Man,['Richard Zambrana\n\n'],['Ginsie Stauss'],-2.823763907144894e-07,49.02340506868876,95.3734713234906,133.4882620681263,173.71532783191427,204.40426660437362,242.08044244843379,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
37,38,USCA C-2,"Paul Pape
Mike Howard

TC Jennifer Keirnan-Pape
TC Amber Howard",1973,0 days 03:35:00,0 days 08:22:00,0 days 13:12:00,0 days 18:47:00,1 days 06:35:00,1 days 12:18:00,1 days 15:32:00,2 days 04:32:00,2 days 11:44:00,2 days 17:31:00,2 days 21:25:00,USCA C-2,['Paul Pape\nMike Howard\n\n'],['Jennifer Keirnan-Pape\nTC Amber Howard'],-2.823763907144894e-07,47.59730867661391,90.7864978920543,122.18681158716183,164.40974724833427,194.0566645643114,233.22946624485155,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
38,39,Aluminum,"Matt Sandel
Jacob Sandel 

TC Raphael Swafford
TC Amy Swafford",7804,0 days 03:22:00,0 days 08:18:00,0 days 12:46:00,0 days 18:08:00,1 days 03:44:00,1 days 09:02:00,1 days 12:33:00,1 days 22:30:00,2 days 06:17:00,2 days 12:56:00,2 days 21:35:00,Aluminum,['Matt Sandel\nJacob Sandel \n\n'],['Raphael Swafford\nTC Amy Swafford'],-2.823763907144894e-07,48.47679181348453,94.17075392363812,134.71961727115865,176.38968415504502,215.3737869271332,250.15090810737024,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
39,40,Solo Unlimited Woman,"Cyndi Wilsdorf
TC Stephanie Wolfe
TC Susan Jordan",811,0 days 03:27:00,0 days 08:08:00,0 days 12:33:00,0 days 18:44:00,1 days 06:16:00,1 days 12:44:00,1 days 16:47:00,2 days 02:53:00,2 days 11:36:00,2 days 17:37:00,2 days 21:36:00,Solo Unlimited Woman,['Cyndi Wilsdorf\n'],['Stephanie Wolfe\nTC Susan Jordan'],-2.823763907144894e-07,49.34346412559248,91.03546184360607,123.1617943524733,160.3211153141583,198.19647008127177,233.65320936015772,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
40,41,Tandem Unlimited,"Shawn Melnar
Dylan Melnar 

TC Sharon Melnar
TC Mason Melnar",14,0 days 03:32:00,0 days 08:31:00,0 days 13:00:00,0 days 18:19:00,1 days 05:09:00,1 days 11:57:00,1 days 15:53:00,2 days 02:17:00,2 days 10:12:00,2 days 17:18:00,2 days 22:01:00,Tandem Unlimited,['Shawn Melnar\nDylan Melnar \n\n'],['Sharon Melnar\nTC Mason Melnar'],-2.823763907144894e-07,47.45144922157101,92.72349467891814,127.14621382152112,163.45857531778,200.51722196275142,237.54358144991835,266.01740832206156,266.06332049717383,266.06332049717383,266.06332049717383
41,42,Tandem Unlimited,"James Ward
Paul Glisson

TC Emily Addlesperger
TC Janet Ward",1004,0 days 03:26:00,0 days 08:23:00,0 days 12:48:00,0 days 18:14:00,1 days 04:46:00,1 days 11:57:00,1 days 16:06:00,2 days 02:30:00,2 days 10:39:00,2 days 18:13:00,2 days 22:18:00,Tandem Unlimited,['James Ward\nPaul Glisson\n\n'],['Emily Addlesperger\nTC Janet Ward'],-2.823763907144894e-07,48.17667822650542,93.18060619783739,128.31457224444137,162.68921263936244,199.71428461877704,235.9813720392099,265.10872204810505,266.06332049717383,266.06332049717383,266.06332049717383
