,,,,,,,,,,2012 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,16,2:45:00,19,3:44:00,31,3:51:00,36,5:08:00,30,7:10:00,22,4:31:00,29,2:48:00,32,9:23:00,29,6:56:00,28,4:29:00,74,8:47:00,,,,,
,,,,,16,2:45:00,16,6:29:00,21,10:20:00,29,15:28:00,31,22:38:00,29,27:09:00,29,29:57:00,30,39:20:00,28,46:16:00,27,50:45:00,28,59:32:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4th Standard,3,"David Lozano 
Megan Yeager 
TC - Laura Jesse",9:00, ,12:00:00, ,15:51:00, ,19:31:00, ,0:07:00, ,7:25:00, ,12:14:00, ,14:58:00, ,1:35:00, ,9:15:00, ,14:10:00, ,20:33:00,,,,,
,,,,,29,3:00:00,28,3:51:00,22,3:40:00,17,4:36:00,34,7:18:00,31,4:49:00,25,2:44:00,45,10:37:00,46,7:40:00,37,4:55:00,47,6:23:00,,,,,
,,,,,29,3:00:00,27,6:51:00,27,10:31:00,22,15:07:00,29,22:25:00,30,27:14:00,30,29:58:00,31,40:35:00,31,48:15:00,31,53:10:00,29,59:33:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3rd USCA C1,210,"Colin McDonald 
TC - Ross McDonald",9:00, ,12:03:00, ,16:06:00, ,20:06:00, ,1:09:00, ,8:49:00, ,13:43:00, ,16:58:00, ,4:55:00, ,11:32:00, ,16:27:00, ,21:18:00,,,,,
,,,,,36,3:03:00,39,4:03:00,37,4:00:00,35,5:03:00,40,7:40:00,34,4:54:00,45,3:15:00,65,11:57:00,22,6:37:00,37,4:55:00,24,4:51:00,,,,,
,,,,,36,3:03:00,37,7:06:00,35,11:06:00,36,16:09:00,36,23:49:00,34,28:43:00,34,31:58:00,34,43:55:00,33,50:32:00,33,55:27:00,30,60:18:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1st Aluminum,1030,"Jim Pye 
Michael Shively 
TC - Donna Bugge",9:00, ,12:03:00, ,16:09:00, ,20:08:00, ,1:04:00, ,8:34:00, ,13:56:00, ,17:05:00, ,3:21:00, ,10:52:00, ,15:16:00, ,21:29:00,,,,,
,,,,,36,3:03:00,41,4:06:00,36,3:59:00,32,4:56:00,37,7:30:00,37,5:22:00,38,3:09:00,41,10:16:00,40,7:31:00,26,4:24:00,44,6:13:00,,,,,
,,,,,36,3:03:00,38,7:09:00,38,11:08:00,35,16:04:00,34,23:34:00,37,28:56:00,36,32:05:00,32,42:21:00,32,49:52:00,32,54:16:00,31,60:29:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
