,,,,,,,,,,2012 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
DNF,,47,"Scott Schake
Steve Stark
TC - Lowel Schake",9:00, ,13:15:00, ,18:45:00, ,1:43:00, ,13:40:00,,,,,,,,,,,,,,,,,,,
,,,,,111,4:15:00,113,5:30:00,103,6:58:00,115,11:57:00,,,,,,,,,,,,,,,,,,,
,,,,,111,4:15:00,112,9:45:00,106,16:43:00,105,28:40:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,1966,"Justin Brzozowske
TC - Paul Brzozowske",9:00, ,13:19:00, ,19:00:00, ,5:50:00, ,16:23:00,,,,,,,,,,,,,,,,,,,
,,,,,113,4:19:00,118,5:41:00,115,10:50:00,108,10:33:00,,,,,,,,,,,,,,,,,,,
,,,,,113,4:19:00,120,10:00:00,113,20:50:00,113,31:23:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,111,"Michael Ludford
TC - Deborah Lageman",9:00, ,13:42:00, ,19:40:00, ,6:00:00, ,16:31:00,,,,,,,,,,,,,,,,,,,
,,,,,124,4:42:00,123,5:58:00,112,10:20:00,107,10:31:00,,,,,,,,,,,,,,,,,,,
,,,,,124,4:42:00,125,10:40:00,115,21:00:00,114,31:31:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,1954,"Bruce Bodson
TC - Tina Mize",9:00, ,13:11:00, ,18:52:00, ,6:15:00, ,16:59:00,,,,,,,,,,,,,,,,,,,
,,,,,105,4:11:00,118,5:41:00,117,11:23:00,109,10:44:00,,,,,,,,,,,,,,,,,,,
,,,,,105,4:11:00,117,9:52:00,116,21:15:00,116,31:59:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,444,"Mollie Binion
TC - Pauline Tice",9:00, ,12:34:00, ,17:06:00, ,21:51:00,,,,,,,,,,,,,,,,,,,,,
,,,,,68,3:34:00,67,4:32:00,63,4:45:00,,,,,,,,,,,,,,,,,,,,,
,,,,,68,3:34:00,65,8:06:00,65,12:51:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,5050,"James Graham
TC - Art Torres",9:00, ,12:40:00, ,17:18:00, ,22:22:00,,,,,,,,,,,,,,,,,,,,,
,,,,,76,3:40:00,73,4:38:00,73,5:04:00,,,,,,,,,,,,,,,,,,,,,
,,,,,76,3:40:00,76,8:18:00,71,13:22:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,42,"David Dobbins
TC - Melissa Dobbins",9:00, ,12:50:00, ,17:30:00, ,22:46:00,,,,,,,,,,,,,,,,,,,,,
,,,,,87,3:50:00,77,4:40:00,79,5:16:00,,,,,,,,,,,,,,,,,,,,,
,,,,,87,3:50:00,80,8:30:00,77,13:46:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,308,"Alfred Andrews
Debbie Galvan
TC - Sara Andrews",9:00, ,13:20:00, ,18:50:00, ,2:07:00,,,,,,,,,,,,,,,,,,,,,
,,,,,114,4:20:00,113,5:30:00,107,7:17:00,,,,,,,,,,,,,,,,,,,,,
,,,,,114,4:20:00,116,9:50:00,107,17:07:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,971,"Henry Dornak
TC - David Dornak",9:00, ,12:05:00, ,17:11:00, ,6:36:00,,,,,,,,,,,,,,,,,,,,,
,,,,,40,3:05:00,100,5:06:00,123,13:25:00,,,,,,,,,,,,,,,,,,,,,
,,,,,40,3:05:00,71,8:11:00,118,21:36:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,220,"Owen West
Alex West
Eric West
TC - Sheila Baker",9:00, ,13:35:00, ,19:56:00, ,8:13:00,,,,,,,,,,,,,,,,,,,,,
,,,,,122,4:35:00,126,6:21:00,122,12:17:00,,,,,,,,,,,,,,,,,,,,,
,,,,,122,4:35:00,127,10:56:00,124,23:13:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,2931,"Steve Wilson
Chris Getto
TC - Jon Wilson",9:00, ,12:50:00, ,17:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,87,3:50:00,89,4:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,87,3:50:00,89,8:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,6288,"Matthew Demel
TC - Greg Demel",9:00, ,13:42:00, ,18:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,124,4:42:00,99,5:05:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,124,4:42:00,113,9:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,404,"William Barnes
TC - Patrick Allen",9:00, ,13:20:00, ,18:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,114,4:20:00,112,5:29:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,114,4:20:00,114,9:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,7018,"John Maika
TC - Mike Riley",9:00, ,12:01:00, ,18:55:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,3:01:00,128,6:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,3:01:00,118,9:55:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,4,"Josha Todd
TC - Rebecca Todd",9:00, ,14:33:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,130,5:33:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,130,5:33:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,555,"Bruce Trainum
TC - Sandy Trainum",9:00, ,14:24:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,129,5:24:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,129,5:24:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,149,"Mark Cecconi
Lari Blevins
Thomas Vester
TC - Samuel Vester",9:00, ,2:58:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,131,17:58:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,131,17:58:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,9,"Allissa Lange
Alex Meyers
TC - Paul Phalen",9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,77,"Logan Ferguson
Cody Ferguson
TC - David Ferguson",9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,1909,"Jerry Morse
TC - Paul Kirkley",9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,2637,"Robert Bailey
Justin Bailey
Jeff McAdams
TC - Brent Mozingo",9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
