,,,,,,,,,,,2005 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Position,Boat #,Team Members,,Staples,,Luling 90,,,Zedler Dam,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
,,,,17,2:51:00,17,6:36:00,18,7:39:00,19,10:21:00,18,15:39:00,18,22:12:00,16,26:25:00,14,28:50:00,14,35:48:00,19,45:39:00,19,49:41:00,19,54:21:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,180,Grady Hicks             Cindy Meurer               TC-Ginger Turner,9:00, ,11:58:00, ,15:50:00, ,16:56:00, ,19:43:00, ,24:58:00, ,8:38:00, ,13:16:00, ,16:14:00, ,0:24:00, ,7:29:00, ,11:30:00, ,15:47:00
2nd Mixed,,,,24,2:58:00,25,3:52:00,25,1:06:00,25,2:47:00,21,5:15:00,32,7:40:00,21,4:38:00,33,2:58:00,23,8:10:00,33,7:05:00,20,4:01:00,25,4:17:00
,,,,24,2:58:00,24,6:50:00,25,7:56:00,25,10:43:00,24,15:58:00,25,23:38:00,25,28:16:00,24,31:14:00,21,39:24:00,20,46:29:00,20,50:30:00,20,54:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,971,Henry Dornak                  TC-Keith Rodgers,9:00, ,11:41:00, ,15:15:00, ,16:20:00, ,18:59:00, ,23:48:00, ,6:03:00, ,10:10:00, ,12:30:00, ,19:26:00, ,7:52:00, ,12:11:00, ,16:59:00
4th Solo,,,,8,2:41:00,9,3:34:00,21,1:05:00,17,2:39:00,13,4:49:00,14,6:15:00,10,4:07:00,11,2:20:00,12,6:56:00,70,12:26:00,30,4:19:00,38,4:48:00
,,,,8,2:41:00,8,6:15:00,8,7:20:00,9,9:59:00,12,14:48:00,12,21:03:00,9,25:10:00,10,27:30:00,10,34:26:00,21,46:52:00,21,51:11:00,21,55:59:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8006,Richard Ameen            TC-Gary Kohat,9:00, ,12:08:00, ,16:07:00, ,17:16:00, ,20:13:00, ,1:13:00, ,7:47:00, ,13:05:00, ,16:27:00, ,2:04:00, ,8:49:00, ,14:10:00, ,18:30:00
5th Solo,,,,34,3:08:00,33,3:59:00,31,1:09:00,30,2:57:00,16,5:00:00,21,6:34:00,40,5:18:00,44,3:22:00,34,9:37:00,26,6:45:00,61,5:21:00,28,4:20:00
,,,,34,3:08:00,32,7:07:00,31,8:16:00,31,11:13:00,26,16:13:00,22,22:47:00,24,28:05:00,25,31:27:00,22,41:04:00,22,47:49:00,22,53:10:00,22,57:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8,Michael Rendon           TC-Mike Drost,9:00, ,12:01:00, ,15:51:00, ,16:59:00, ,19:49:00, ,1:49:00, ,9:53:00, ,14:55:00, ,17:35:00, ,3:44:00, ,10:25:00, ,15:20:00, ,19:12:00
6th Solo,,,,31,3:01:00,23,3:50:00,30,1:08:00,27,2:50:00,35,6:00:00,43,8:04:00,32,5:02:00,19,2:40:00,42,10:09:00,23,6:41:00,51,4:55:00,13,3:52:00
,,,,31,3:01:00,26,6:51:00,27,7:59:00,27,10:49:00,28,16:49:00,30,24:53:00,29,29:55:00,28,32:35:00,24,42:44:00,24,49:25:00,26,54:20:00,23,58:12:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,824,Kareem Aziz          Patrick Cosgrove          TC-Diana Wiley,9:00, ,12:03:00, ,16:06:00, ,17:16:00, ,20:12:00, ,1:57:00, ,9:42:00, ,14:36:00, ,17:15:00, ,2:12:00, ,9:56:00, ,15:14:00, ,20:05:00
3rd Aluminum,,,,32,3:03:00,34,4:03:00,33,1:10:00,29,2:56:00,30,5:45:00,35,7:45:00,29,4:54:00,18,2:39:00,26,8:57:00,42,7:44:00,60,5:18:00,39,4:51:00
,,,,32,3:03:00,31,7:06:00,31,8:16:00,30,11:12:00,30,16:57:00,29,24:42:00,28,29:36:00,27,32:15:00,23,41:12:00,23,48:56:00,24,54:14:00,24,59:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1620,Hoyt Moss               Grant Jacobs (DNF)               TC-Chris Henderson,9:00, ,12:20:00, ,16:43:00, ,17:56:00, ,21:14:00, ,3:33:00, ,11:01:00, ,16:31:00, ,19:14:00, ,4:34:00, ,11:12:00, ,15:25:00, ,20:45:00
4th Aluminum,,,,51,3:20:00,44,4:23:00,39,1:13:00,44,3:18:00,39,6:19:00,29,7:28:00,45,5:30:00,23,2:43:00,31,9:20:00,22,6:38:00,27,4:13:00,50,5:20:00
,,,,51,3:20:00,46,7:43:00,44,8:56:00,46,12:14:00,39,18:33:00,36,26:01:00,36,31:31:00,35,34:14:00,26,43:34:00,28,50:12:00,28,54:25:00,25,59:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,314,William Russell          Andrew Stephens          TC-Johnny Russell        ,9:00, ,12:16:00, ,16:37:00, ,17:50:00, ,20:48:00, ,2:55:00, ,11:07:00, ,16:20:00, ,19:18:00, ,4:36:00, ,11:05:00, ,15:17:00, ,21:25:00
1st Novice,,,,42,3:16:00,43,4:21:00,38,1:13:00,32,2:58:00,36,6:07:00,46,8:12:00,35,5:13:00,34,2:58:00,30,9:18:00,18,6:29:00,26,4:12:00,60,6:08:00
,,,,42,3:16:00,40,7:37:00,39,8:50:00,37,11:48:00,35,17:55:00,37,26:07:00,35,31:20:00,36,34:18:00,27,43:36:00,27,50:05:00,25,54:17:00,26,60:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3711,Darryl Jiral                   TC-Kathi Jiral,9:00, ,12:25:00, ,16:40:00, ,17:54:00, ,21:04:00, ,3:00:00, ,11:15:00, ,16:00:00, ,18:53:00, ,4:50:00, ,12:00:00, ,16:24:00, ,21:42:00
3rd USCA C-1,,,,54,3:25:00,38,4:15:00,41,1:14:00,38,3:10:00,34,5:56:00,47,8:15:00,23,4:45:00,30,2:53:00,37,9:57:00,34,7:10:00,35,4:24:00,49,5:18:00
