,,,,,,,,,2023 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1st Tandem Unlimited Women,"Holly Orr
Melissa James

TC Andrew Nelson
TC Jason James",357, ,12:02:00,,16:15:00,,20:02:00,,0:45:00,,8:02:00,,12:49:00,,15:43:00,,0:10:00,,7:23:00,,12:00:00,,15:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,20,3:02:00,16,4:13:00,13,3:47:00,20,4:43:00,18,7:17:00,16,4:47:00,15,2:54:00,15,8:27:00,18,7:13:00,10,4:37:00,7,3:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,20,3:02:00,18,7:15:00,15,11:02:00,17,15:45:00,17,23:02:00,17,27:49:00,17,30:43:00,15,39:10:00,15,46:23:00,15,51:00:00,15,54:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1st USCA C-1 Man,"Brandon Stafford

TC Joseph Bitterly
TC Heather Stafford",14, ,12:02:00,,16:18:00,,20:22:00,,1:09:00,,8:26:00,,13:35:00,,16:28:00,,1:32:00,,9:08:00,,13:17:00,,17:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,20,3:02:00,19,4:16:00,23,4:04:00,21,4:47:00,19,7:17:00,25,5:09:00,13,2:53:00,21,9:04:00,25,7:36:00,5,4:09:00,16,4:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,20,3:02:00,21,7:18:00,20,11:22:00,20,16:09:00,20,23:26:00,19,28:35:00,18,31:28:00,18,40:32:00,18,48:08:00,17,52:17:00,16,56:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8th Unlimited,"Matt Taylor
Myles Sumerlin
John D Chapman III
Bobby Johnson

TC Tara Taylor
TC Ricky Johnson",777, ,11:44:00,,16:07:00,,20:03:00,,1:06:00,,9:11:00,,14:16:00,,17:27:00,,2:00:00,,9:15:00,,13:54:00,,17:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,2:44:00,23,4:23:00,17,3:56:00,30,5:03:00,30,8:05:00,23,5:05:00,27,3:11:00,18,8:33:00,19,7:15:00,11,4:39:00,11,3:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,2:44:00,15,7:07:00,17,11:03:00,19,16:06:00,24,24:11:00,23,29:16:00,23,32:27:00,20,41:00:00,19,48:15:00,18,52:54:00,17,56:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9th Unlimited,"Josephine Harras
John Mark Harras
Pete Binion
Wade Binion
Egan Gyldenege
Kyle Issendorf

TC Jason Jones
TC Chris Cobb",807, ,12:17:00,,16:41:00,,20:44:00,,1:43:00,,9:06:00,,13:59:00,,17:09:00,,2:39:00,,9:34:00,,14:37:00,,19:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,41,3:17:00,24,4:24:00,22,4:03:00,26,4:59:00,21,7:23:00,20,4:53:00,26,3:10:00,26,9:30:00,10,6:55:00,20,5:03:00,18,4:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,41,3:17:00,31,7:41:00,28,11:44:00,26,16:43:00,22,24:06:00,22,28:59:00,22,32:09:00,21,41:39:00,20,48:34:00,20,53:37:00,18,58:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1st Novice,"Wesley Keathley
Micah Killian

TC Miles Maynor
TC Micah Harris",628, ,12:34:00,,17:22:00,,21:49:00,,3:15:00,,11:10:00,,16:11:00,,19:27:00,,5:25:00,,12:58:00,,18:46:00,,0:12:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,56,3:34:00,47,4:48:00,36,4:27:00,42,5:26:00,28,7:55:00,21,5:01:00,33,3:16:00,31,9:58:00,23,7:33:00,36,5:48:00,24,5:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,56,3:34:00,54,8:22:00,44,12:49:00,43,18:15:00,35,26:10:00,32,31:11:00,31,34:27:00,30,44:25:00,30,51:58:00,28,57:46:00,19,63:12:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2nd Tandem Unlimited Women,"Mollie Binion
Lilly Jones

TC Sam Binion
TC Meagan Tolliver",38, ,12:22:00,,17:04:00,,21:36:00,,3:03:00,,11:37:00,,17:01:00,,20:24:00,,6:20:00,,13:32:00,,19:12:00,,0:25:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,43,3:22:00,41,4:42:00,39,4:32:00,44,5:27:00,39,8:34:00,34,5:24:00,41,3:23:00,30,9:56:00,16,7:12:00,30,5:40:00,21,5:13:00,,,,,,,,,,,,,,,,,,,,,,,
