,,,,,,,,,,,,2009 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,
,,,,,6,2:47:00,8,4:21:00,7,1:05:00,6,3:00:00,9,5:44:00,10,7:43:00,9,5:00:00,10,2:59:00,11,9:50:00,15,8:07:00,11,5:39:00,50,13:50:02,,,,,
,,,,,6,2:47:00,6,7:08:00,6,8:13:00,7,11:13:00,7,16:57:00,8,24:40:00,8,29:40:00,8,32:39:00,9,42:29:00,9,50:36:00,10,56:15:00,14,70:05:02,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5th Tandem,241,"Pete Binion
Bob Bradford
TC - Wade Binion",9:00,,12:13:00,,16:52:00,,18:02:00,,21:58:00,,4:55:00,,13:12:00,,18:30:00,,22:11:00,,13:47:00,,21:03:00,,2:09:00,,7:08:00,,,,,
,,,,,17,3:13:00,16,4:39:00,16,1:10:00,21,3:56:00,19,6:57:00,16,8:17:00,14,5:18:00,20,3:41:00,44,15:36:00,11,7:16:00,9,5:06:00,8,4:59:00,,,,,
,,,,,17,3:13:00,18,7:52:00,18,9:02:00,18,12:58:00,17,19:55:00,17,28:12:00,17,33:30:00,17,37:11:00,18,52:47:00,17,60:03:00,16,65:09:00,15,70:08:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5th Solo,12,"Sammy Prochaska
TC - Paul Rozsypal",9:00, ,12:10:00,,16:34:00,,17:38:00,,20:40:00,,3:01:00,,11:08:00,,16:21:00,,19:30:00,,6:08:00,,12:50:00,,18:02:00,,7:45:00,,,,,
,,,,,13,3:10:00,9,4:24:00,6,1:04:00,8,3:02:00,15,6:21:00,14,8:07:00,13,5:13:00,14,3:09:00,16,10:38:00,8,6:42:00,10,5:12:00,48,13:43:00,,,,,
,,,,,13,3:10:00,12,7:34:00,12,8:38:00,11,11:40:00,12,18:01:00,13,26:08:00,13,31:21:00,13,34:30:00,13,45:08:00,13,51:50:00,13,57:02:00,16,70:45:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6th Solo,262,"Shawn Boyett
TC - Mike Anderson",9:00, ,12:41:00,,17:31:00,,18:46:00,,22:37:00,,5:07:00,,13:46:00,,20:43:00,,1:05:00,,11:10:00,,19:38:00,,3:02:00,,8:16:00,,,,,
,,,,,28,3:41:00,20,4:50:00,23,1:15:00,19,3:51:00,16,6:30:00,20,8:39:00,27,6:57:00,35,4:22:00,13,10:05:00,20,8:28:00,29,7:24:00,10,5:14:00,,,,,
,,,,,28,3:41:00,24,8:31:00,22,9:46:00,22,13:37:00,18,20:07:00,18,28:46:00,18,35:43:00,18,40:05:00,16,50:10:00,16,58:38:00,17,66:02:00,17,71:16:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1st Novice,96,"Robin Carville
Willie Carville
TC - Becky Carville",9:00, ,12:57:00,,18:20:00,,19:43:00,,23:52:00,,7:59:00,,16:32:00,,22:40:00,,2:40:00,,13:35:00,,22:52:00,,6:23:00,,12:56:00,,,,,
,,,,,41,3:57:00,35,5:23:00,37,1:23:00,25,4:09:00,30,8:07:00,19,8:33:00,20,6:08:00,27,4:00:00,17,10:55:00,28,9:17:00,31,7:31:00,24,6:33:00,,,,,
,,,,,41,3:57:00,35,9:20:00,35,10:43:00,29,14:52:00,28,22:59:00,23,31:32:00,22,37:40:00,19,41:40:00,17,52:35:00,18,61:52:00,18,69:23:00,18,75:56:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6th Tandem,8321,"Chris Stevenson
Robb Stevenson
TC - Audra Williams",9:00, ,12:39:00,,17:50:00,,19:08:00,,23:11:00,,7:20:00,,15:47:00,,1:00:00,,4:23:00,,14:09:00,,1:03:00,,7:40:00,,13:55:00,,,,,
,,,,,27,3:39:00,29,5:11:00,28,1:18:00,23,4:03:00,31,8:09:00,18,8:27:00,43,9:13:00,17,3:23:00,10,9:46:00,46,10:54:00,23,6:37:00,17,6:15:00,,,,,
