,,,,,,,,,,,,,2006 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Legend,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,
,,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,
,,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,
,Boat #,Team Members,,Staples,,Luling,,Zedler Mill,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
,4th Solo,,,14,2:58:00,9,4:12:00,9,1:07:00,13,2:54:00,14,5:18:00,27,9:07:00,35,7:28:00,19,2:58:00,33,10:58:00,17,6:48:00,18,4:07:00,29,4:13:00
,,,,14,2:58:00,9,7:10:00,9,8:17:00,10,11:11:00,12,16:29:00,19,25:36:00,22,33:04:00,22,36:02:00,21,47:00:00,20,53:48:00,20,57:55:00,18,62:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,138,Gaston Jones            TC - Aaron Hanson,9:00, ,11:58:00, ,16:24:00, ,17:44:00, ,20:50:00, ,2:40:00, ,14:00:00, ,20:03:00, ,23:46:00, ,8:55:00, ,15:32:00, ,19:31:00, ,23:10:00
,5th Solo,,,14,2:58:00,22,4:26:00,48,1:20:00,20,3:06:00,24,5:50:00,57,11:20:00,28,6:03:00,37,3:43:00,12,9:09:00,14,6:37:00,14,3:59:00,16,3:39:00
,,,,14,2:58:00,20,7:24:00,24,8:44:00,23,11:50:00,23,17:40:00,34,29:00:00,29,35:03:00,28,38:46:00,24,47:55:00,22,54:32:00,21,58:31:00,19,62:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5150,Shawn Boyett        Michael  Anderson      TC - Michael Holcomb,9:00, ,12:25:00, ,17:21:00, ,18:42:00, ,22:15:00, ,4:27:00, ,13:15:00, ,19:04:00, ,22:07:00, ,8:00:00, ,15:02:00, ,19:40:00, ,23:33:00
,1st Novice,,,41,3:25:00,35,4:56:00,49,1:21:00,33,3:33:00,31,6:12:00,23,8:48:00,24,5:49:00,22,3:03:00,19,9:53:00,20,7:02:00,27,4:38:00,22,3:53:00
,,,,41,3:25:00,35,8:21:00,38,9:42:00,34,13:15:00,33,19:27:00,28,28:15:00,25,34:04:00,25,37:07:00,21,47:00:00,21,54:02:00,22,58:40:00,20,62:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7014,Michael Felchak         Sam Felts           Emmett Rhoden            TC - Daren Jarisch,9:00, ,11:49:00, ,16:22:00, ,17:35:00, ,20:35:00, ,2:32:00, ,12:02:00, ,17:26:00, ,20:18:00, ,7:17:00, ,13:27:00, ,18:27:00, ,23:35:00
,9th Unlimited,,,8,2:49:00,27,4:33:00,28,1:13:00,19,3:00:00,28,5:57:00,35,9:30:00,16,5:24:00,15,2:52:00,34,10:59:00,8,6:10:00,35,5:00:00,39,5:08:00
,,,,8,2:49:00,18,7:22:00,19,8:35:00,18,11:35:00,22,17:32:00,24,27:02:00,21,32:26:00,21,35:18:00,19,46:17:00,19,52:27:00,19,57:27:00,21,62:35:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
